,CV0,CV1,CV2,CV3,CV4
*碱性磷酸酶*甘油三酯,0,0,0,0,0
*球蛋白*血小板计数,0,0,0,0,0
*球蛋白*血小板平均体积,0,1,0,0,0
*碱性磷酸酶*白球比例,0,0,0,0,0
*碱性磷酸酶**球蛋白,0,0,0,0,0
*碱性磷酸酶*中性粒细胞%,0,0,0,0,0
*碱性磷酸酶*淋巴细胞%,0,0,0,0,0
白蛋白*红细胞压积,0,0,0,0,0
*球蛋白*红细胞压积,0,1,0,0,0
*r-谷氨酰基转换酶*尿素,0,0,0,0,0
*碱性磷酸酶*嗜酸细胞%,0,0,0,0,0
*r-谷氨酰基转换酶*白细胞计数,0,0,0,0,0
*r-谷氨酰基转换酶*低密度脂蛋白胆固醇,0,0,0,0,0
*r-谷氨酰基转换酶*高密度脂蛋白胆固醇,0,0,0,0,0
*r-谷氨酰基转换酶*尿酸,0,0,0,0,0
*r-谷氨酰基转换酶*红细胞计数,0,0,0,0,0
*r-谷氨酰基转换酶*血红蛋白,0,0,0,0,0
*r-谷氨酰基转换酶*甘油三酯,0,0,0,0,0
*r-谷氨酰基转换酶*肌酐,0,0,0,1,0
*r-谷氨酰基转换酶*白球比例,0,0,1,0,0
*r-谷氨酰基转换酶**球蛋白,0,0,0,0,0
*球蛋白*红细胞平均血红蛋白量,0,0,0,0,0
*r-谷氨酰基转换酶*白蛋白,0,0,0,0,0
*r-谷氨酰基转换酶**总蛋白,0,0,0,0,0
*碱性磷酸酶*嗜碱细胞%,0,0,0,0,0
*球蛋白*红细胞平均体积,0,0,0,0,0
*天门冬氨酸氨基转换酶,1,1,0,2,0
*球蛋白*血小板体积分布宽度,1,0,0,2,0
血小板比积,1,0,0,0,0
*球蛋白*白细胞计数,1,0,0,0,0
年龄,1,2,2,2,1
*球蛋白*红细胞体积分布宽度,1,0,0,0,0
白球比例*高密度脂蛋白胆固醇,1,0,0,0,1
白蛋白*红细胞平均血红蛋白量,1,0,0,0,0
*球蛋白*红细胞平均血红蛋白浓度,1,0,0,0,0
log_肌酐,1,0,0,0,0
白蛋白*红细胞平均血红蛋白浓度,1,0,0,0,0
log_白细胞计数,1,0,0,0,0
尿素酸比例,1,1,2,2,0
高密度脂蛋白胆固醇strong,1,0,0,0,0
白球比例*低密度脂蛋白胆固醇,1,0,0,0,0
尿酸,1,0,0,0,0
血小板体积分布宽度,1,0,0,0,2
血小板计数*嗜碱细胞%,1,0,0,0,0
白球比例*血小板体积分布宽度,1,0,0,0,0
白球比例*尿酸,1,0,0,0,0
白细胞计数,1,0,0,0,0
尿素,1,0,0,0,0
血小板平均体积*淋巴细胞%,1,0,0,0,0
*总蛋白*红细胞平均血红蛋白浓度,1,0,0,1,0
低密度脂蛋白胆固醇*血红蛋白,1,0,0,0,0
*碱性磷酸酶*尿酸,1,0,0,0,0
*天门冬氨酸氨基转换酶*中性粒细胞%,1,0,1,0,0
尿酸*红细胞平均血红蛋白浓度,1,0,0,0,0
*r-谷氨酰基转换酶*总胆固醇,1,0,0,0,0
*碱性磷酸酶*低密度脂蛋白胆固醇,1,0,0,1,0
尿酸*白细胞计数,1,0,0,0,0
血红蛋白*红细胞平均血红蛋白浓度,1,0,0,0,0
高密度脂蛋白胆固醇*单核细胞%,1,0,0,0,0
肌酐*单核细胞%,1,0,0,0,0
*碱性磷酸酶*白细胞计数,1,0,0,0,1
*丙氨酸氨基转换酶*单核细胞%,1,0,1,0,0
*r-谷氨酰基转换酶*嗜碱细胞%,1,0,0,0,0
*总蛋白*尿酸,1,1,0,1,0
血红蛋白*单核细胞%,1,0,0,0,1
红细胞平均体积*血小板体积分布宽度,1,0,1,0,0
红细胞平均血红蛋白浓度*红细胞体积分布宽度,1,0,0,0,0
*总蛋白*红细胞体积分布宽度,1,0,0,0,1
红细胞平均血红蛋白量*血小板平均体积,1,0,0,0,0
肌酐*血小板平均体积,1,0,0,0,0
红细胞平均体积*血小板平均体积,1,0,0,0,0
肌酐*红细胞平均血红蛋白浓度,1,0,0,0,0
年龄*肌酐,1,0,0,0,0
*总蛋白*红细胞平均血红蛋白量,1,0,0,1,0
尿酸*血小板体积分布宽度,1,0,0,0,0
年龄*白细胞计数,1,0,0,0,0
*总蛋白*血红蛋白,1,0,0,0,0
*总蛋白*总胆固醇,2,0,1,0,1
红细胞压积,2,0,0,0,1
白细胞计数*单核细胞%,2,0,0,0,0
低密度脂蛋白胆固醇*血小板比积,2,0,0,0,0
log_尿酸,2,0,1,0,0
*总蛋白*血小板体积分布宽度,2,0,0,0,0
log_*碱性磷酸酶,2,3,2,0,1
年龄*淋巴细胞%,2,0,0,0,0
血小板计数*淋巴细胞%,2,0,0,0,1
白蛋白,2,0,0,0,1
白蛋白*白细胞计数,2,0,0,0,0
血红蛋白*红细胞平均血红蛋白量,2,0,0,0,0
*丙氨酸氨基转换酶*淋巴细胞%,2,0,0,0,0
*总蛋白*红细胞平均体积,2,0,0,0,0
嗜碱酸细胞比例,2,0,0,0,0
*球蛋白*尿酸,2,0,0,0,1
*球蛋白*肌酐,2,1,0,1,0
*球蛋白,2,1,0,1,0
肌酐*血红蛋白,2,0,0,0,1
*r-谷氨酰基转换酶,3,1,1,1,1
*总蛋白,3,1,0,2,0
*碱性磷酸酶**总蛋白,3,0,0,0,0
weekday,3,0,0,0,0
*碱性磷酸酶*单核细胞%,3,1,0,1,0
总胆固醇*红细胞平均血红蛋白浓度,3,1,1,0,0
总胆固醇*血小板体积分布宽度,3,0,0,0,0
*天门冬氨酸氨基转换酶*血小板计数,3,0,0,0,0
嗜酸细胞%*嗜碱细胞%,3,1,0,0,1
淋巴细胞%,3,0,0,2,2
嗜酸细胞%,3,0,0,0,0
*r-谷氨酰基转换酶*嗜酸细胞%,3,0,0,0,0
白细胞计数*红细胞体积分布宽度,3,0,0,0,0
甘油三酯/总胆固醇,3,1,1,1,0
*球蛋白*尿素,3,0,0,0,0
高密度脂蛋白胆固醇*血小板计数,3,0,0,0,0
*r-谷氨酰基转换酶*单核细胞%,3,0,0,0,0
红细胞计数,4,0,1,1,1
红细胞平均血红蛋白浓度,4,0,2,0,0
甘油三酯*嗜碱细胞%,4,0,0,1,0
*碱性磷酸酶,5,0,0,0,0
血小板计数,6,2,1,0,0
甘油三酯,8,0,0,0,2
