,CV0,CV1,CV2,CV3,CV4
肌酐*单核细胞%,31,17,15,12,16
甘油三酯*单核细胞%,31,21,18,10,14
*总蛋白*红细胞体积分布宽度,31,18,39,13,31
白蛋白**球蛋白,31,14,27,11,15
*碱性磷酸酶*单核细胞%,31,11,31,12,18
血小板体积分布宽度*淋巴细胞%,31,40,39,21,21
白球比例*红细胞平均血红蛋白浓度,31,21,20,16,10
白蛋白*血小板平均体积,31,21,27,18,23
白球比例*单核细胞%,32,12,15,7,21
尿素*单核细胞%,32,18,33,5,11
*球蛋白*红细胞压积,32,12,12,11,8
总胆固醇*尿素,32,8,14,8,25
白球比例*尿素,32,12,15,7,29
尿酸*血小板计数,33,11,19,5,11
白蛋白*红细胞平均血红蛋白浓度,33,21,27,14,20
*碱性磷酸酶*尿酸,33,13,21,20,19
总胆固醇*单核细胞%,33,31,24,18,19
红细胞平均血红蛋白量*红细胞平均血红蛋白浓度,33,20,50,14,21
*球蛋白*肌酐,33,21,32,16,11
*总蛋白*白球比例,34,13,26,3,9
log_年龄,34,44,39,28,32
高密度脂蛋白胆固醇*白细胞计数,35,16,23,11,20
白细胞计数*血小板体积分布宽度,35,22,26,12,9
低密度脂蛋白胆固醇*尿酸,35,19,16,9,22
甘油三酯*高密度脂蛋白胆固醇,35,24,31,6,15
血小板计数*单核细胞%,36,13,15,10,12
*天门冬氨酸氨基转换酶*淋巴细胞%,36,19,34,28,29
尿素*白细胞计数,36,9,19,11,14
血小板平均体积*单核细胞%,36,18,14,4,13
*球蛋白*高密度脂蛋白胆固醇,36,27,70,43,21
*天门冬氨酸氨基转换酶*红细胞体积分布宽度,36,22,32,13,14
尿酸*单核细胞%,37,14,33,14,19
单核细胞%,37,40,50,25,35
红细胞压积*红细胞体积分布宽度,38,21,37,24,33
白蛋白*红细胞体积分布宽度,38,36,42,35,25
中性粒细胞%*单核细胞%,38,24,21,14,16
年龄*白细胞计数,38,4,24,13,32
红细胞平均体积*红细胞体积分布宽度,39,34,58,14,23
*r-谷氨酰基转换酶*嗜碱细胞%,39,17,37,9,15
*天门冬氨酸氨基转换酶*中性粒细胞%,39,17,21,7,28
*天门冬氨酸氨基转换酶**球蛋白,41,9,31,10,8
高密度脂蛋白胆固醇*红细胞计数,42,19,25,8,19
嗜酸细胞%,42,25,42,17,15
*球蛋白*红细胞平均体积,42,35,54,20,21
log_*碱性磷酸酶,43,47,53,32,32
红细胞平均体积*红细胞平均血红蛋白浓度,43,26,33,10,31
*碱性磷酸酶*血小板体积分布宽度,44,13,41,20,22
白细胞计数*单核细胞%,44,27,36,24,37
高密度脂蛋白胆固醇*肌酐,45,17,18,5,15
淋巴细胞%*嗜碱细胞%,45,28,19,23,22
甘油三酯*嗜碱细胞%,46,25,47,28,25
weekday,46,24,37,21,44
*天门冬氨酸氨基转换酶*白细胞计数,47,25,15,1,13
高密度脂蛋白胆固醇*单核细胞%,47,32,30,15,25
肌酐*红细胞体积分布宽度,48,27,50,2,17
红细胞压积*血小板平均体积,50,14,35,16,17
*总蛋白*红细胞平均血红蛋白浓度,52,30,49,23,25
log_甘油三酯,55,38,49,42,38
*天门冬氨酸氨基转换酶*高密度脂蛋白胆固醇,55,15,30,15,16
*天门冬氨酸氨基转换酶*单核细胞%,55,22,18,13,15
球蛋白/总蛋白,56,55,82,30,40
log_*r-谷氨酰基转换酶,60,36,37,24,39
高密度脂蛋白胆固醇*尿酸,61,22,42,14,19
*总蛋白,67,48,50,23,55
血小板计数,68,51,58,29,73
红细胞平均血红蛋白量*红细胞体积分布宽度,72,23,36,24,35
白红细胞比例,73,73,79,35,30
血小板平均体积,75,51,71,16,37
红细胞压积,80,52,73,61,42
白蛋白/总蛋白,83,39,73,41,33
肌酐,93,67,72,68,66
*球蛋白,96,53,55,43,42
淋巴细胞%,97,80,85,54,46
总胆固醇,102,81,110,65,144
eGFR,106,62,89,55,65
中性粒细胞%,106,46,64,55,64
血小板体积分布宽度,108,79,85,53,74
低密度脂蛋白胆固醇,109,91,76,67,102
白蛋白,109,80,117,46,96
红细胞平均血红蛋白浓度*红细胞体积分布宽度,115,38,108,25,50
白细胞计数,141,88,165,84,134
高密度脂蛋白胆固醇,152,92,135,63,93
嗜碱酸细胞比例,160,43,55,46,71
红细胞平均体积,162,147,232,116,186
GFR,169,99,128,69,168
血红蛋白,171,102,116,67,106
*丙氨酸氨基转换酶,179,152,192,135,169
尿酸,180,114,136,125,141
红细胞计数,180,130,149,92,121
红细胞体积分布宽度,181,161,164,88,185
红细胞平均血红蛋白浓度,209,114,232,186,183
甘油三酯/总胆固醇,210,116,204,120,162
*天门冬氨酸氨基转换酶,233,190,273,149,187
尿素,303,146,364,147,181
*碱性磷酸酶,326,315,416,156,224
高低固醇比例,343,176,155,163,156
尿素酸比例,395,244,316,256,207
*r-谷氨酰基转换酶,414,251,283,150,245
甘油三酯,433,292,345,234,268
年龄,586,568,701,506,538
